Order ID,Date,Year,Quarter,Month,Region,State,City,Product Category,Product Subcategory,Product Name,Brand,Sales Channel,Customer Segment,Sales Rep,Units Sold,Unit Price,Discount,Revenue,Cost,Profit,Payment Method,Customer Satisfaction
40021,2024-10-09,2024,Q4,Oct,Northeast,Pennsylvania,Philadelphia,Accessories,Mouse,ClickPro,NovaTech,Retail,Corporate,John Miller,17,1042,0.1,15942.6,10774.71,5167.89,Cash,Unsatisfied
40022,2024-10-08,2024,Q4,Oct,West,Colorado,Denver,Electronics,Laptop,UltraBook Pro,Vertex,Online,Consumer,Michael Brown,18,506,0.1,8197.2,5194.55,3002.65,Card,Satisfied
40023,2024-11-27,2024,Q4,Nov,Midwest,Illinois,Chicago,Accessories,Mouse,ClickPro,Nimbus,Retail,Corporate,Jessica Lee,5,543,0.05,2579.25,1535.2,1044.05,Cash,Neutral
40024,2024-04-07,2024,Q2,Apr,Northeast,Massachusetts,Boston,Furniture,Desk,WorkDesk Pro,Apex,Retail,Consumer,John Miller,10,218,0.05,2071.0,1514.59,556.41,Digital Wallet,Very Satisfied
40025,2024-02-15,2024,Q1,Feb,Northeast,New York,New York,Furniture,Cabinet,StoragePlus,Apex,Distributor,Consumer,Michael Brown,7,130,0.1,819.0,561.45,257.55,Digital Wallet,Neutral
40026,2024-09-20,2024,Q3,Sep,West,Colorado,Denver,Accessories,Mouse,ClickPro,Apex,Online,Small Business,David Clark,15,341,0.05,4859.25,2710.63,2148.62,Cash,Unsatisfied
40027,2024-07-08,2024,Q3,Jul,Midwest,Illinois,Chicago,Accessories,Mouse,ClickPro,Vertex,Online,Corporate,Emily Carter,14,896,0.0,12544.0,7490.56,5053.44,Digital Wallet,Satisfied
40028,2024-10-17,2024,Q4,Oct,South,Florida,Miami,Furniture,Desk,WorkDesk Pro,NovaTech,Retail,Small Business,Emily Carter,14,1097,0.0,15358.0,8961.51,6396.49,Bank Transfer,Very Satisfied
40029,2024-10-14,2024,Q4,Oct,Northeast,New York,New York,Electronics,Phone,Galaxy Max,Apex,Online,Consumer,Michael Brown,10,479,0.15,4071.5,2826.77,1244.73,Card,Neutral
40030,2024-10-21,2024,Q4,Oct,West,Washington,Seattle,Accessories,Headphones,SoundMax,Nimbus,Retail,Corporate,John Miller,20,600,0.15,10200.0,5715.93,4484.07,Card,Very Satisfied
40031,2024-03-27,2024,Q1,Mar,West,Washington,Seattle,Furniture,Desk,WorkDesk Pro,Nimbus,Online,Consumer,David Clark,18,243,0.0,4374.0,2482.79,1891.21,Digital Wallet,Unsatisfied
40032,2024-03-11,2024,Q1,Mar,Midwest,Ohio,Columbus,Electronics,Laptop,UltraBook Pro,Orbit,Distributor,Corporate,Emily Carter,13,436,0.0,5668.0,3194.28,2473.72,Digital Wallet,Unsatisfied
40033,2024-10-14,2024,Q4,Oct,Midwest,Ohio,Columbus,Electronics,Phone,Galaxy Max,Orbit,Online,Consumer,David Clark,5,234,0.15,994.5,662.4,332.1,Bank Transfer,Very Satisfied
40034,2024-07-17,2024,Q3,Jul,South,Georgia,Atlanta,Electronics,Tablet,Tab Elite,Orbit,Distributor,Consumer,David Clark,17,1014,0.15,14652.3,9858.95,4793.35,Cash,Very Satisfied
40035,2024-09-08,2024,Q3,Sep,Midwest,Michigan,Detroit,Electronics,Phone,Galaxy Max,Vertex,Online,Corporate,David Clark,6,404,0.1,2181.6,1233.24,948.36,Digital Wallet,Neutral
40036,2024-11-21,2024,Q4,Nov,Northeast,Massachusetts,Boston,Accessories,Keyboard,KeyPro,Nimbus,Online,Consumer,John Miller,12,703,0.0,8436.0,5122.64,3313.36,Card,Satisfied
40037,2024-05-21,2024,Q2,May,Midwest,Ohio,Columbus,Furniture,Desk,WorkDesk Pro,Apex,Retail,Small Business,David Clark,18,126,0.05,2154.6,1493.51,661.09,Digital Wallet,Unsatisfied
40038,2024-11-24,2024,Q4,Nov,Midwest,Michigan,Detroit,Accessories,Mouse,ClickPro,Nimbus,Distributor,Small Business,Jessica Lee,9,886,0.15,6777.9,4171.72,2606.18,Digital Wallet,Neutral
40039,2024-09-11,2024,Q3,Sep,South,Georgia,Atlanta,Electronics,Laptop,UltraBook Pro,Vertex,Online,Corporate,Sarah Lopez,14,150,0.15,1785.0,1101.3,683.7,Card,Neutral
40040,2024-02-11,2024,Q1,Feb,West,Colorado,Denver,Accessories,Headphones,SoundMax,Vertex,Retail,Consumer,David Clark,15,368,0.15,4692.0,2833.91,1858.09,Cash,Very Satisfied
40041,2024-03-14,2024,Q1,Mar,Midwest,Illinois,Chicago,Electronics,Phone,Galaxy Max,Nimbus,Online,Corporate,Michael Brown,10,1087,0.1,9783.0,5885.01,3897.99,Cash,Satisfied
40042,2024-07-19,2024,Q3,Jul,West,Colorado,Denver,Furniture,Cabinet,StoragePlus,NovaTech,Distributor,Small Business,John Miller,20,1119,0.15,19023.0,11165.01,7857.99,Card,Satisfied
40043,2024-03-24,2024,Q1,Mar,Midwest,Ohio,Columbus,Furniture,Desk,WorkDesk Pro,Apex,Online,Small Business,John Miller,3,281,0.15,716.55,417.86,298.69,Bank Transfer,Unsatisfied
40044,2024-03-21,2024,Q1,Mar,Northeast,Pennsylvania,Philadelphia,Accessories,Mouse,ClickPro,Nimbus,Online,Corporate,Sarah Lopez,13,713,0.0,9269.0,5488.18,3780.82,Digital Wallet,Unsatisfied
40045,2024-02-21,2024,Q1,Feb,Midwest,Illinois,Chicago,Furniture,Chair,ComfortSeat,Orbit,Retail,Corporate,Emily Carter,17,911,0.15,13163.95,8234.5,4929.45,Cash,Neutral
40046,2024-05-19,2024,Q2,May,West,Washington,Seattle,Electronics,Laptop,UltraBook Pro,Orbit,Online,Consumer,Jessica Lee,16,974,0.05,14804.8,8918.98,5885.82,Card,Unsatisfied
40047,2024-06-19,2024,Q2,Jun,Midwest,Illinois,Chicago,Electronics,Laptop,UltraBook Pro,Nimbus,Distributor,Consumer,Sarah Lopez,5,243,0.0,1215.0,808.43,406.57,Card,Neutral
40048,2024-12-14,2024,Q4,Dec,Northeast,Massachusetts,Boston,Electronics,Phone,Galaxy Max,Orbit,Distributor,Consumer,Sarah Lopez,8,535,0.0,4280.0,2426.2,1853.8,Cash,Very Satisfied
40049,2024-02-04,2024,Q1,Feb,Northeast,Pennsylvania,Philadelphia,Electronics,Phone,Galaxy Max,Apex,Distributor,Consumer,John Miller,18,1119,0.1,18127.8,10593.39,7534.41,Bank Transfer,Unsatisfied
40050,2024-05-15,2024,Q2,May,Northeast,Massachusetts,Boston,Furniture,Desk,WorkDesk Pro,Orbit,Online,Small Business,Jessica Lee,16,725,0.0,11600.0,8524.89,3075.11,Bank Transfer,Unsatisfied
40051,2024-11-24,2024,Q4,Nov,South,Florida,Miami,Accessories,Mouse,ClickPro,Orbit,Distributor,Consumer,Jessica Lee,7,703,0.0,4921.0,3459.08,1461.92,Bank Transfer,Neutral
40052,2024-09-15,2024,Q3,Sep,Northeast,Pennsylvania,Philadelphia,Furniture,Desk,WorkDesk Pro,Orbit,Distributor,Small Business,Michael Brown,4,63,0.15,214.2,124.36,89.84,Cash,Very Satisfied
40053,2024-08-27,2024,Q3,Aug,South,Georgia,Atlanta,Furniture,Chair,ComfortSeat,Nimbus,Retail,Consumer,Jessica Lee,10,184,0.05,1748.0,1094.39,653.61,Card,Neutral
40054,2024-09-28,2024,Q3,Sep,Northeast,Massachusetts,Boston,Accessories,Keyboard,KeyPro,Orbit,Retail,Consumer,David Clark,16,67,0.15,911.2,538.31,372.89,Bank Transfer,Satisfied
40055,2024-11-24,2024,Q4,Nov,Northeast,Massachusetts,Boston,Electronics,Tablet,Tab Elite,Apex,Retail,Small Business,Sarah Lopez,4,802,0.15,2726.8,1800.27,926.53,Bank Transfer,Very Satisfied
40056,2024-11-05,2024,Q4,Nov,Northeast,Pennsylvania,Philadelphia,Furniture,Desk,WorkDesk Pro,Apex,Retail,Corporate,Jessica Lee,11,1171,0.15,10948.85,6149.04,4799.81,Bank Transfer,Satisfied
40057,2024-07-30,2024,Q3,Jul,South,Texas,Dallas,Furniture,Desk,WorkDesk Pro,Nimbus,Retail,Consumer,Emily Carter,13,833,0.15,9204.65,6275.18,2929.47,Cash,Unsatisfied
40058,2024-01-28,2024,Q1,Jan,West,Colorado,Denver,Accessories,Keyboard,KeyPro,NovaTech,Retail,Corporate,Jessica Lee,15,1106,0.1,14931.0,9510.72,5420.28,Digital Wallet,Unsatisfied
40059,2024-10-09,2024,Q4,Oct,South,Texas,Dallas,Electronics,Phone,Galaxy Max,Nimbus,Distributor,Consumer,Emily Carter,19,411,0.15,6637.65,3862.05,2775.6,Bank Transfer,Neutral
40060,2024-09-03,2024,Q3,Sep,West,Colorado,Denver,Accessories,Mouse,ClickPro,NovaTech,Retail,Small Business,Michael Brown,17,272,0.05,4392.8,3251.43,1141.37,Card,Neutral
40061,2024-12-03,2024,Q4,Dec,Northeast,New York,New York,Electronics,Tablet,Tab Elite,Vertex,Online,Corporate,Sarah Lopez,13,472,0.05,5829.2,3805.84,2023.36,Cash,Unsatisfied
40062,2024-05-07,2024,Q2,May,Northeast,Massachusetts,Boston,Electronics,Laptop,UltraBook Pro,Orbit,Retail,Consumer,Michael Brown,17,872,0.0,14824.0,9205.77,5618.23,Cash,Neutral
40063,2024-10-19,2024,Q4,Oct,Northeast,Massachusetts,Boston,Furniture,Cabinet,StoragePlus,Apex,Retail,Consumer,Sarah Lopez,9,530,0.0,4770.0,2720.41,2049.59,Cash,Very Satisfied
40064,2024-04-06,2024,Q2,Apr,Midwest,Michigan,Detroit,Electronics,Phone,Galaxy Max,Orbit,Online,Corporate,Jessica Lee,1,790,0.15,671.5,383.95,287.55,Card,Neutral
40065,2024-08-20,2024,Q3,Aug,West,California,Los Angeles,Electronics,Tablet,Tab Elite,Nimbus,Retail,Consumer,David Clark,3,794,0.0,2382.0,1748.25,633.75,Bank Transfer,Very Satisfied
40066,2024-08-24,2024,Q3,Aug,West,California,Los Angeles,Furniture,Cabinet,StoragePlus,Orbit,Retail,Corporate,John Miller,2,440,0.15,748.0,439.61,308.39,Card,Unsatisfied
40067,2024-03-16,2024,Q1,Mar,Northeast,New York,New York,Electronics,Laptop,UltraBook Pro,Orbit,Distributor,Small Business,Michael Brown,6,1097,0.1,5923.8,3737.91,2185.89,Card,Neutral
40068,2024-08-31,2024,Q3,Aug,South,Georgia,Atlanta,Electronics,Phone,Galaxy Max,Vertex,Distributor,Small Business,Sarah Lopez,8,846,0.0,6768.0,4919.9,1848.1,Cash,Unsatisfied
40069,2024-08-06,2024,Q3,Aug,Midwest,Michigan,Detroit,Accessories,Mouse,ClickPro,NovaTech,Distributor,Consumer,Emily Carter,16,824,0.15,11206.4,7584.98,3621.42,Bank Transfer,Unsatisfied
40070,2024-11-12,2024,Q4,Nov,West,Colorado,Denver,Furniture,Chair,ComfortSeat,NovaTech,Retail,Small Business,Sarah Lopez,12,215,0.0,2580.0,1578.42,1001.58,Digital Wallet,Unsatisfied
40071,2024-01-04,2024,Q1,Jan,Midwest,Ohio,Columbus,Accessories,Keyboard,KeyPro,Orbit,Online,Corporate,John Miller,12,607,0.15,6191.4,4383.77,1807.63,Bank Transfer,Satisfied
40072,2024-02-25,2024,Q1,Feb,South,Texas,Dallas,Electronics,Laptop,UltraBook Pro,Orbit,Online,Consumer,John Miller,10,930,0.0,9300.0,6819.32,2480.68,Bank Transfer,Neutral
40073,2024-02-04,2024,Q1,Feb,South,Texas,Dallas,Electronics,Laptop,UltraBook Pro,NovaTech,Retail,Corporate,Michael Brown,18,305,0.15,4666.5,3339.32,1327.18,Card,Very Satisfied
40074,2024-07-05,2024,Q3,Jul,Northeast,Massachusetts,Boston,Electronics,Laptop,UltraBook Pro,Nimbus,Retail,Corporate,David Clark,9,1085,0.15,8300.25,4779.23,3521.02,Bank Transfer,Neutral
40075,2024-08-01,2024,Q3,Aug,Midwest,Ohio,Columbus,Electronics,Laptop,UltraBook Pro,Nimbus,Online,Consumer,Michael Brown,11,264,0.1,2613.6,1496.71,1116.89,Cash,Neutral
40076,2024-04-18,2024,Q2,Apr,Northeast,New York,New York,Electronics,Tablet,Tab Elite,Apex,Online,Corporate,Emily Carter,8,1195,0.1,8604.0,5399.8,3204.2,Cash,Neutral
40077,2024-12-30,2024,Q4,Dec,West,California,Los Angeles,Accessories,Mouse,ClickPro,Orbit,Online,Small Business,Jessica Lee,1,895,0.0,895.0,500.09,394.91,Bank Transfer,Unsatisfied
40078,2024-01-21,2024,Q1,Jan,Midwest,Illinois,Chicago,Accessories,Mouse,ClickPro,Vertex,Distributor,Consumer,John Miller,12,135,0.1,1458.0,1027.63,430.37,Digital Wallet,Unsatisfied
40079,2024-08-19,2024,Q3,Aug,Northeast,Massachusetts,Boston,Furniture,Cabinet,StoragePlus,Vertex,Distributor,Corporate,Jessica Lee,18,886,0.0,15948.0,9760.5,6187.5,Cash,Unsatisfied
40080,2024-10-28,2024,Q4,Oct,West,Washington,Seattle,Electronics,Tablet,Tab Elite,Vertex,Online,Small Business,Michael Brown,8,352,0.05,2675.2,1758.68,916.52,Digital Wallet,Very Satisfied
40081,2024-08-22,2024,Q3,Aug,Midwest,Michigan,Detroit,Electronics,Phone,Galaxy Max,Orbit,Distributor,Corporate,David Clark,16,83,0.1,1195.2,854.24,340.96,Bank Transfer,Unsatisfied
40082,2024-11-09,2024,Q4,Nov,Northeast,New York,New York,Furniture,Cabinet,StoragePlus,Nimbus,Distributor,Consumer,David Clark,12,272,0.05,3100.8,2300.25,800.55,Cash,Unsatisfied
40083,2024-03-23,2024,Q1,Mar,Midwest,Michigan,Detroit,Furniture,Chair,ComfortSeat,Apex,Retail,Consumer,John Miller,14,224,0.05,2979.2,2176.66,802.54,Bank Transfer,Very Satisfied
40084,2024-06-03,2024,Q2,Jun,South,Texas,Dallas,Furniture,Desk,WorkDesk Pro,Nimbus,Retail,Consumer,Emily Carter,7,832,0.1,5241.6,3684.26,1557.34,Digital Wallet,Unsatisfied
40085,2024-07-29,2024,Q3,Jul,South,Florida,Miami,Accessories,Keyboard,KeyPro,Vertex,Distributor,Consumer,Emily Carter,12,1058,0.15,10791.6,7761.4,3030.2,Cash,Neutral
40086,2024-10-19,2024,Q4,Oct,Northeast,Pennsylvania,Philadelphia,Electronics,Phone,Galaxy Max,Nimbus,Online,Small Business,Emily Carter,3,477,0.15,1216.35,892.72,323.63,Bank Transfer,Unsatisfied
40087,2024-01-24,2024,Q1,Jan,South,Florida,Miami,Furniture,Desk,WorkDesk Pro,Orbit,Online,Corporate,Emily Carter,7,1103,0.0,7721.0,5298.98,2422.02,Bank Transfer,Neutral
40088,2024-06-29,2024,Q2,Jun,Northeast,New York,New York,Furniture,Cabinet,StoragePlus,Nimbus,Online,Small Business,David Clark,12,59,0.1,637.2,403.93,233.27,Card,Unsatisfied
40089,2024-03-21,2024,Q1,Mar,Northeast,Massachusetts,Boston,Furniture,Cabinet,StoragePlus,Vertex,Online,Small Business,Emily Carter,2,382,0.05,725.8,523.56,202.24,Bank Transfer,Very Satisfied
40090,2024-04-16,2024,Q2,Apr,West,California,Los Angeles,Electronics,Laptop,UltraBook Pro,Orbit,Distributor,Consumer,Sarah Lopez,20,939,0.15,15963.0,11292.01,4670.99,Bank Transfer,Satisfied
40091,2024-03-04,2024,Q1,Mar,Midwest,Illinois,Chicago,Electronics,Phone,Galaxy Max,Orbit,Distributor,Small Business,David Clark,7,404,0.1,2545.2,1414.45,1130.75,Cash,Very Satisfied
40092,2024-01-16,2024,Q1,Jan,Midwest,Ohio,Columbus,Furniture,Desk,WorkDesk Pro,Apex,Online,Corporate,Michael Brown,13,366,0.05,4520.1,2754.18,1765.92,Cash,Unsatisfied
40093,2024-10-01,2024,Q4,Oct,Northeast,Pennsylvania,Philadelphia,Furniture,Desk,WorkDesk Pro,Apex,Distributor,Consumer,Sarah Lopez,1,749,0.05,711.55,449.52,262.03,Cash,Satisfied
40094,2024-04-10,2024,Q2,Apr,Midwest,Illinois,Chicago,Electronics,Laptop,UltraBook Pro,Orbit,Distributor,Small Business,John Miller,18,176,0.05,3009.6,1777.7,1231.9,Digital Wallet,Unsatisfied
40095,2024-09-28,2024,Q3,Sep,West,Colorado,Denver,Accessories,Keyboard,KeyPro,Orbit,Distributor,Small Business,Sarah Lopez,20,857,0.05,16283.0,12069.73,4213.27,Cash,Satisfied
40096,2024-11-20,2024,Q4,Nov,West,Colorado,Denver,Furniture,Desk,WorkDesk Pro,NovaTech,Distributor,Corporate,Sarah Lopez,10,70,0.1,630.0,410.51,219.49,Bank Transfer,Satisfied
40097,2024-12-22,2024,Q4,Dec,Northeast,New York,New York,Accessories,Keyboard,KeyPro,Apex,Distributor,Consumer,David Clark,14,1157,0.1,14578.2,9300.67,5277.53,Bank Transfer,Neutral
40098,2024-01-06,2024,Q1,Jan,Northeast,Pennsylvania,Philadelphia,Electronics,Tablet,Tab Elite,NovaTech,Retail,Corporate,Emily Carter,18,263,0.15,4023.9,3016.92,1006.98,Digital Wallet,Unsatisfied
40099,2024-07-22,2024,Q3,Jul,Northeast,Pennsylvania,Philadelphia,Furniture,Chair,ComfortSeat,Orbit,Online,Small Business,Michael Brown,5,806,0.0,4030.0,2903.17,1126.83,Bank Transfer,Very Satisfied
40100,2024-05-19,2024,Q2,May,Northeast,Massachusetts,Boston,Electronics,Laptop,UltraBook Pro,Vertex,Retail,Consumer,Jessica Lee,18,300,0.0,5400.0,3047.96,2352.04,Bank Transfer,Neutral
40101,2024-09-02,2024,Q3,Sep,South,Georgia,Atlanta,Accessories,Headphones,SoundMax,Vertex,Retail,Consumer,Emily Carter,4,857,0.1,3085.2,2143.69,941.51,Digital Wallet,Very Satisfied
40102,2024-09-08,2024,Q3,Sep,West,California,Los Angeles,Furniture,Chair,ComfortSeat,NovaTech,Online,Corporate,Sarah Lopez,9,231,0.1,1871.1,1051.35,819.75,Card,Satisfied
40103,2024-01-31,2024,Q1,Jan,Midwest,Michigan,Detroit,Furniture,Cabinet,StoragePlus,Nimbus,Online,Small Business,John Miller,10,425,0.1,3825.0,2256.12,1568.88,Cash,Very Satisfied
40104,2024-04-08,2024,Q2,Apr,Midwest,Illinois,Chicago,Furniture,Desk,WorkDesk Pro,Orbit,Online,Corporate,Michael Brown,3,382,0.15,974.1,600.74,373.36,Card,Neutral
40105,2024-10-04,2024,Q4,Oct,Midwest,Ohio,Columbus,Accessories,Keyboard,KeyPro,Nimbus,Retail,Small Business,Jessica Lee,11,1015,0.1,10048.5,5681.09,4367.41,Card,Satisfied
40106,2024-08-24,2024,Q3,Aug,Midwest,Ohio,Columbus,Electronics,Phone,Galaxy Max,Apex,Retail,Corporate,Sarah Lopez,4,134,0.0,536.0,385.66,150.34,Digital Wallet,Unsatisfied
40107,2024-04-29,2024,Q2,Apr,South,Florida,Miami,Accessories,Mouse,ClickPro,Nimbus,Retail,Corporate,Emily Carter,9,1052,0.05,8994.6,6131.48,2863.12,Cash,Satisfied
40108,2024-06-29,2024,Q2,Jun,Northeast,Massachusetts,Boston,Furniture,Desk,WorkDesk Pro,Vertex,Retail,Consumer,Jessica Lee,7,63,0.05,418.95,291.72,127.23,Cash,Satisfied
40109,2024-05-17,2024,Q2,May,Midwest,Ohio,Columbus,Electronics,Laptop,UltraBook Pro,Orbit,Retail,Corporate,Sarah Lopez,17,854,0.05,13792.1,8461.45,5330.65,Card,Satisfied
40110,2024-01-29,2024,Q1,Jan,Midwest,Illinois,Chicago,Electronics,Phone,Galaxy Max,Nimbus,Online,Small Business,Michael Brown,8,452,0.15,3073.6,1897.64,1175.96,Bank Transfer,Satisfied
40111,2024-06-11,2024,Q2,Jun,Midwest,Ohio,Columbus,Electronics,Tablet,Tab Elite,Apex,Distributor,Corporate,Jessica Lee,18,688,0.05,11764.8,7477.79,4287.01,Bank Transfer,Neutral
40112,2024-06-03,2024,Q2,Jun,South,Georgia,Atlanta,Electronics,Phone,Galaxy Max,NovaTech,Distributor,Consumer,Sarah Lopez,19,969,0.15,15649.35,8732.56,6916.79,Digital Wallet,Satisfied
40113,2024-06-29,2024,Q2,Jun,Northeast,Massachusetts,Boston,Electronics,Phone,Galaxy Max,Apex,Distributor,Consumer,Jessica Lee,8,402,0.1,2894.4,2158.46,735.94,Digital Wallet,Satisfied
40114,2024-08-16,2024,Q3,Aug,Northeast,New York,New York,Furniture,Desk,WorkDesk Pro,Nimbus,Retail,Consumer,Michael Brown,18,924,0.1,14968.8,9997.59,4971.21,Digital Wallet,Satisfied
40115,2024-02-18,2024,Q1,Feb,Midwest,Michigan,Detroit,Furniture,Desk,WorkDesk Pro,Apex,Online,Small Business,David Clark,13,941,0.0,12233.0,7341.96,4891.04,Digital Wallet,Very Satisfied
40116,2024-07-20,2024,Q3,Jul,Midwest,Illinois,Chicago,Furniture,Cabinet,StoragePlus,Apex,Retail,Consumer,Jessica Lee,6,590,0.05,3363.0,1849.87,1513.13,Cash,Unsatisfied
40117,2024-09-16,2024,Q3,Sep,Midwest,Michigan,Detroit,Electronics,Tablet,Tab Elite,NovaTech,Retail,Consumer,Michael Brown,9,114,0.0,1026.0,626.54,399.46,Card,Satisfied
40118,2024-05-30,2024,Q2,May,South,Georgia,Atlanta,Electronics,Laptop,UltraBook Pro,Nimbus,Distributor,Corporate,John Miller,15,488,0.0,7320.0,4616.21,2703.79,Card,Unsatisfied
40119,2024-08-18,2024,Q3,Aug,Midwest,Illinois,Chicago,Accessories,Mouse,ClickPro,Orbit,Retail,Consumer,Michael Brown,1,110,0.05,104.5,61.96,42.54,Card,Very Satisfied
40120,2024-03-29,2024,Q1,Mar,South,Florida,Miami,Accessories,Mouse,ClickPro,Vertex,Retail,Small Business,Michael Brown,12,186,0.1,2008.8,1313.75,695.05,Digital Wallet,Satisfied
40121,2024-08-08,2024,Q3,Aug,Northeast,Pennsylvania,Philadelphia,Accessories,Mouse,ClickPro,NovaTech,Retail,Small Business,David Clark,12,623,0.15,6354.6,4405.99,1948.61,Bank Transfer,Satisfied
40122,2024-09-18,2024,Q3,Sep,South,Georgia,Atlanta,Electronics,Phone,Galaxy Max,Vertex,Online,Consumer,Jessica Lee,1,250,0.05,237.5,168.06,69.44,Card,Unsatisfied
40123,2024-10-02,2024,Q4,Oct,West,Washington,Seattle,Furniture,Desk,WorkDesk Pro,Orbit,Retail,Corporate,Michael Brown,2,836,0.0,1672.0,1086.3,585.7,Card,Very Satisfied
40124,2024-10-18,2024,Q4,Oct,West,Colorado,Denver,Electronics,Phone,Galaxy Max,Orbit,Retail,Small Business,Emily Carter,4,367,0.15,1247.8,710.03,537.77,Digital Wallet,Unsatisfied
40125,2024-05-15,2024,Q2,May,Midwest,Ohio,Columbus,Accessories,Keyboard,KeyPro,Apex,Distributor,Consumer,John Miller,1,742,0.0,742.0,525.2,216.8,Cash,Satisfied
40126,2024-08-20,2024,Q3,Aug,South,Georgia,Atlanta,Electronics,Laptop,UltraBook Pro,Vertex,Distributor,Consumer,Jessica Lee,12,376,0.0,4512.0,2553.07,1958.93,Bank Transfer,Very Satisfied
40127,2024-09-28,2024,Q3,Sep,South,Texas,Dallas,Furniture,Chair,ComfortSeat,Nimbus,Distributor,Corporate,John Miller,19,870,0.0,16530.0,10693.63,5836.37,Cash,Very Satisfied
