Order ID,Date,Year,Quarter,Month,Week,Region,State,Product Category,Product Subcategory,Sales Channel,Customer Segment,Units Sold,Unit Price,Discount,Revenue,Cost,Profit,Profit Margin,Marketing Channel
50053,2024-05-31,2024,Q2,May,22,West,California,Electronics,Phone,Retail,Small Business,3,1075,0.0,3225.0,1864.47,1360.53,0.4219,Direct
50054,2024-05-18,2024,Q2,May,20,Midwest,Illinois,Electronics,Laptop,Distributor,Corporate,12,172,0.1,1857.6,1122.86,734.74,0.3955,Social Media
50055,2024-05-11,2024,Q2,May,19,West,Colorado,Accessories,Headphones,Distributor,Corporate,7,60,0.05,399.0,220.39,178.61,0.4476,Email
50056,2024-12-22,2024,Q4,Dec,51,West,Colorado,Electronics,Laptop,Online,Consumer,1,850,0.15,722.5,471.78,250.72,0.347,Google Ads
50057,2024-01-14,2024,Q1,Jan,2,West,California,Electronics,Laptop,Online,Consumer,20,339,0.1,6102.0,3918.78,2183.22,0.3578,Email
50058,2024-03-01,2024,Q1,Mar,9,Northeast,Pennsylvania,Electronics,Phone,Retail,Corporate,2,537,0.05,1020.3,760.64,259.66,0.2545,Email
50059,2024-08-20,2024,Q3,Aug,34,Midwest,Illinois,Electronics,Laptop,Retail,Corporate,17,396,0.05,6395.4,4313.28,2082.12,0.3256,Email
50060,2024-01-07,2024,Q1,Jan,1,Northeast,Pennsylvania,Accessories,Mouse,Retail,Corporate,24,604,0.1,13046.4,9747.34,3299.06,0.2529,Direct
50061,2024-07-22,2024,Q3,Jul,30,Midwest,Michigan,Accessories,Headphones,Distributor,Consumer,5,988,0.0,4940.0,2748.8,2191.2,0.4436,Direct
50062,2024-10-28,2024,Q4,Oct,44,Midwest,Michigan,Accessories,Headphones,Online,Small Business,14,1047,0.1,13192.2,9772.47,3419.73,0.2592,Affiliate
50063,2024-03-28,2024,Q1,Mar,13,Northeast,Massachusetts,Accessories,Mouse,Online,Small Business,25,272,0.1,6120.0,4543.98,1576.02,0.2575,Google Ads
50064,2024-08-29,2024,Q3,Aug,35,West,Washington,Furniture,Cabinet,Retail,Small Business,5,145,0.05,688.75,502.77,185.98,0.27,Affiliate
50065,2024-09-07,2024,Q3,Sep,36,West,California,Electronics,Laptop,Online,Consumer,17,754,0.1,11536.2,8379.79,3156.41,0.2736,Email
50066,2024-06-12,2024,Q2,Jun,24,West,Colorado,Accessories,Headphones,Retail,Small Business,9,488,0.15,3733.2,2264.17,1469.03,0.3935,Direct
50067,2024-07-02,2024,Q3,Jul,27,West,Colorado,Accessories,Keyboard,Retail,Consumer,5,837,0.1,3766.5,2166.52,1599.98,0.4248,Google Ads
50068,2024-11-10,2024,Q4,Nov,45,South,Georgia,Electronics,Laptop,Distributor,Small Business,13,1224,0.05,15116.4,9318.62,5797.78,0.3835,Direct
50069,2024-10-06,2024,Q4,Oct,40,Midwest,Michigan,Furniture,Cabinet,Retail,Small Business,1,881,0.15,748.85,442.1,306.75,0.4096,Direct
50070,2024-09-27,2024,Q3,Sep,39,South,Georgia,Electronics,Laptop,Retail,Corporate,5,376,0.1,1692.0,954.2,737.8,0.4361,Affiliate
50071,2024-04-16,2024,Q2,Apr,16,Northeast,New York,Accessories,Mouse,Retail,Small Business,5,1252,0.05,5947.0,3660.49,2286.51,0.3845,Email
50072,2024-04-29,2024,Q2,Apr,18,Midwest,Ohio,Furniture,Cabinet,Distributor,Small Business,11,1075,0.1,10642.5,6086.96,4555.54,0.4281,Affiliate
50073,2024-04-06,2024,Q2,Apr,14,Midwest,Illinois,Accessories,Headphones,Retail,Small Business,3,942,0.1,2543.4,1865.06,678.34,0.2667,Direct
50074,2024-10-09,2024,Q4,Oct,41,South,Florida,Electronics,Tablet,Online,Small Business,13,877,0.05,10830.95,7538.94,3292.01,0.3039,Affiliate
50075,2024-09-19,2024,Q3,Sep,38,West,California,Furniture,Cabinet,Distributor,Small Business,9,545,0.1,4414.5,3290.71,1123.79,0.2546,Google Ads
50076,2024-12-01,2024,Q4,Dec,48,Midwest,Ohio,Electronics,Phone,Retail,Corporate,9,601,0.05,5138.55,3763.74,1374.81,0.2675,Affiliate
50077,2024-05-11,2024,Q2,May,19,Midwest,Illinois,Accessories,Keyboard,Retail,Consumer,13,483,0.1,5651.1,3929.35,1721.75,0.3047,Google Ads
50078,2024-06-19,2024,Q2,Jun,25,South,Florida,Furniture,Cabinet,Distributor,Consumer,7,688,0.15,4093.6,2830.99,1262.61,0.3084,Google Ads
50079,2024-08-11,2024,Q3,Aug,32,Midwest,Ohio,Electronics,Phone,Online,Corporate,24,109,0.15,2223.6,1408.09,815.51,0.3668,Google Ads
50080,2024-10-18,2024,Q4,Oct,42,Northeast,Pennsylvania,Electronics,Laptop,Distributor,Corporate,4,738,0.15,2509.2,1420.07,1089.13,0.4341,Email
50081,2024-01-15,2024,Q1,Jan,3,Midwest,Michigan,Accessories,Mouse,Retail,Consumer,11,1245,0.05,13010.25,8442.97,4567.28,0.3511,Direct
50082,2024-07-31,2024,Q3,Jul,31,Midwest,Illinois,Accessories,Keyboard,Retail,Consumer,1,1020,0.0,1020.0,577.89,442.11,0.4334,Social Media
50083,2024-01-31,2024,Q1,Jan,5,West,Colorado,Electronics,Tablet,Online,Small Business,18,511,0.15,7818.3,5410.5,2407.8,0.308,Email
50084,2024-06-09,2024,Q2,Jun,23,South,Georgia,Accessories,Keyboard,Distributor,Consumer,19,185,0.1,3163.5,2320.45,843.05,0.2665,Google Ads
50085,2024-04-28,2024,Q2,Apr,17,Midwest,Michigan,Accessories,Keyboard,Distributor,Small Business,5,571,0.15,2426.75,1774.18,652.57,0.2689,Social Media
50086,2024-07-28,2024,Q3,Jul,30,South,Texas,Furniture,Desk,Online,Corporate,21,1050,0.0,22050.0,15582.51,6467.49,0.2933,Affiliate
50087,2024-08-05,2024,Q3,Aug,32,West,California,Furniture,Chair,Retail,Consumer,4,592,0.1,2131.2,1572.13,559.07,0.2623,Email
50088,2024-05-18,2024,Q2,May,20,West,Washington,Accessories,Mouse,Distributor,Consumer,8,859,0.15,5841.2,3562.6,2278.6,0.3901,Email
50089,2024-05-04,2024,Q2,May,18,West,California,Furniture,Cabinet,Retail,Small Business,11,258,0.15,2412.3,1595.38,816.92,0.3386,Direct
50090,2024-02-02,2024,Q1,Feb,5,Northeast,Pennsylvania,Accessories,Keyboard,Retail,Consumer,22,1186,0.0,26092.0,15859.25,10232.75,0.3922,Social Media
50091,2024-09-23,2024,Q3,Sep,39,West,California,Electronics,Phone,Retail,Consumer,9,315,0.05,2693.25,1820.83,872.42,0.3239,Social Media
50092,2024-02-24,2024,Q1,Feb,8,Midwest,Ohio,Furniture,Desk,Distributor,Corporate,9,1142,0.15,8736.3,5838.91,2897.39,0.3316,Email
50093,2024-06-24,2024,Q2,Jun,26,South,Florida,Electronics,Laptop,Online,Consumer,10,640,0.1,5760.0,3573.41,2186.59,0.3796,Direct
50094,2024-12-06,2024,Q4,Dec,49,Northeast,Pennsylvania,Furniture,Cabinet,Distributor,Small Business,2,441,0.0,882.0,641.12,240.88,0.2731,Email
50095,2024-02-13,2024,Q1,Feb,7,Northeast,New York,Electronics,Tablet,Distributor,Corporate,9,707,0.15,5408.55,3413.66,1994.89,0.3688,Affiliate
50096,2024-06-09,2024,Q2,Jun,23,South,Florida,Accessories,Keyboard,Retail,Consumer,1,154,0.15,130.9,97.46,33.44,0.2555,Affiliate
50097,2024-03-07,2024,Q1,Mar,10,South,Texas,Electronics,Phone,Distributor,Consumer,23,495,0.1,10246.5,7596.55,2649.95,0.2586,Direct
50098,2024-07-13,2024,Q3,Jul,28,West,Washington,Accessories,Keyboard,Online,Corporate,12,772,0.05,8800.8,6331.57,2469.23,0.2806,Google Ads
50099,2024-06-15,2024,Q2,Jun,24,Northeast,Massachusetts,Furniture,Desk,Online,Consumer,9,1207,0.1,9776.7,6095.84,3680.86,0.3765,Google Ads
50100,2024-08-06,2024,Q3,Aug,32,Midwest,Illinois,Electronics,Laptop,Retail,Corporate,1,682,0.0,682.0,419.54,262.46,0.3848,Direct
50101,2024-09-23,2024,Q3,Sep,39,West,Washington,Accessories,Keyboard,Retail,Consumer,1,316,0.0,316.0,209.15,106.85,0.3381,Direct
50102,2024-05-06,2024,Q2,May,19,West,Colorado,Furniture,Cabinet,Retail,Small Business,23,283,0.05,6183.55,4142.97,2040.58,0.33,Direct
50103,2024-03-06,2024,Q1,Mar,10,South,Florida,Accessories,Mouse,Retail,Corporate,1,1274,0.0,1274.0,929.0,345.0,0.2708,Google Ads
50104,2024-01-26,2024,Q1,Jan,4,Northeast,New York,Accessories,Headphones,Online,Consumer,5,562,0.15,2388.5,1779.37,609.13,0.255,Direct
50105,2024-10-02,2024,Q4,Oct,40,Northeast,Massachusetts,Accessories,Keyboard,Retail,Small Business,19,270,0.15,4360.5,3128.82,1231.68,0.2825,Email
50106,2024-03-07,2024,Q1,Mar,10,West,California,Accessories,Headphones,Distributor,Small Business,15,870,0.05,12397.5,8742.02,3655.48,0.2949,Google Ads
50107,2024-07-06,2024,Q3,Jul,27,South,Florida,Electronics,Phone,Distributor,Corporate,3,744,0.05,2120.4,1425.82,694.58,0.3276,Affiliate
50108,2024-04-19,2024,Q2,Apr,16,West,Colorado,Accessories,Headphones,Distributor,Consumer,14,611,0.0,8554.0,6368.21,2185.79,0.2555,Affiliate
50109,2024-12-27,2024,Q4,Dec,52,West,California,Accessories,Keyboard,Online,Consumer,23,512,0.0,11776.0,7011.95,4764.05,0.4046,Email
50110,2024-12-27,2024,Q4,Dec,52,Northeast,Massachusetts,Accessories,Headphones,Online,Small Business,21,301,0.0,6321.0,3835.96,2485.04,0.3931,Social Media
50111,2024-05-11,2024,Q2,May,19,Midwest,Illinois,Accessories,Mouse,Online,Consumer,20,774,0.05,14706.0,9678.32,5027.68,0.3419,Email
50112,2024-09-11,2024,Q3,Sep,37,Midwest,Illinois,Accessories,Keyboard,Distributor,Consumer,9,1070,0.0,9630.0,5654.35,3975.65,0.4128,Affiliate
50113,2024-04-12,2024,Q2,Apr,15,Northeast,Massachusetts,Furniture,Desk,Retail,Consumer,2,363,0.15,617.1,375.29,241.81,0.3918,Google Ads
50114,2024-06-25,2024,Q2,Jun,26,Midwest,Ohio,Accessories,Keyboard,Retail,Small Business,23,437,0.05,9548.45,6000.08,3548.37,0.3716,Direct
50115,2024-08-31,2024,Q3,Aug,35,West,Washington,Electronics,Laptop,Online,Corporate,13,1205,0.0,15665.0,10492.29,5172.71,0.3302,Social Media
50116,2024-12-21,2024,Q4,Dec,51,Northeast,Pennsylvania,Electronics,Phone,Distributor,Corporate,5,1172,0.05,5567.0,4158.97,1408.03,0.2529,Direct
50117,2024-09-24,2024,Q3,Sep,39,Northeast,New York,Electronics,Phone,Distributor,Consumer,1,795,0.0,795.0,522.2,272.8,0.3431,Social Media
50118,2024-03-09,2024,Q1,Mar,10,Midwest,Michigan,Furniture,Cabinet,Distributor,Small Business,6,278,0.05,1584.6,1100.29,484.31,0.3056,Google Ads
50119,2024-06-30,2024,Q2,Jun,26,Northeast,Pennsylvania,Accessories,Keyboard,Distributor,Small Business,8,1092,0.1,7862.4,5636.25,2226.15,0.2831,Google Ads
50120,2024-05-06,2024,Q2,May,19,South,Texas,Electronics,Tablet,Retail,Consumer,16,1184,0.15,16102.4,9012.73,7089.67,0.4403,Affiliate
50121,2024-10-31,2024,Q4,Oct,44,South,Georgia,Furniture,Desk,Retail,Corporate,25,373,0.15,7926.25,5636.12,2290.13,0.2889,Direct
50122,2024-01-29,2024,Q1,Jan,5,West,Colorado,Electronics,Phone,Distributor,Small Business,19,171,0.15,2761.65,1917.02,844.63,0.3058,Google Ads
50123,2024-03-16,2024,Q1,Mar,11,Midwest,Michigan,Furniture,Chair,Retail,Small Business,24,223,0.05,5084.4,3475.1,1609.3,0.3165,Direct
50124,2024-12-02,2024,Q4,Dec,49,Northeast,New York,Accessories,Mouse,Online,Consumer,11,769,0.1,7613.1,4470.27,3142.83,0.4128,Affiliate
50125,2024-08-16,2024,Q3,Aug,33,Northeast,Massachusetts,Furniture,Cabinet,Online,Small Business,8,155,0.0,1240.0,780.09,459.91,0.3709,Google Ads
50126,2024-06-10,2024,Q2,Jun,24,South,Georgia,Electronics,Tablet,Distributor,Consumer,1,293,0.05,278.35,171.77,106.58,0.3829,Email
50127,2024-03-21,2024,Q1,Mar,12,South,Texas,Furniture,Cabinet,Retail,Small Business,13,852,0.05,10522.2,7687.58,2834.62,0.2694,Google Ads
50128,2024-10-25,2024,Q4,Oct,43,South,Florida,Electronics,Phone,Distributor,Corporate,5,58,0.0,290.0,196.91,93.09,0.321,Email
50129,2024-08-19,2024,Q3,Aug,34,Northeast,New York,Furniture,Chair,Online,Small Business,19,1188,0.05,21443.4,14066.37,7377.03,0.344,Email
50130,2024-08-27,2024,Q3,Aug,35,Northeast,Massachusetts,Accessories,Headphones,Distributor,Corporate,14,1111,0.0,15554.0,9431.89,6122.11,0.3936,Affiliate
50131,2024-05-12,2024,Q2,May,19,Northeast,Pennsylvania,Electronics,Laptop,Online,Corporate,18,474,0.1,7678.8,5380.76,2298.04,0.2993,Direct
50132,2024-03-19,2024,Q1,Mar,12,South,Georgia,Furniture,Cabinet,Retail,Consumer,20,653,0.1,11754.0,7514.69,4239.31,0.3607,Social Media
50133,2024-08-25,2024,Q3,Aug,34,West,Washington,Accessories,Headphones,Distributor,Consumer,23,51,0.05,1114.35,647.75,466.6,0.4187,Direct
50134,2024-09-02,2024,Q3,Sep,36,Northeast,New York,Furniture,Desk,Retail,Consumer,11,374,0.05,3908.3,2327.03,1581.27,0.4046,Social Media
50135,2024-07-12,2024,Q3,Jul,28,Northeast,Massachusetts,Accessories,Headphones,Distributor,Consumer,17,725,0.05,11708.75,6863.19,4845.56,0.4138,Google Ads
50136,2024-03-12,2024,Q1,Mar,11,West,Colorado,Furniture,Desk,Online,Corporate,14,1254,0.15,14922.6,8421.67,6500.93,0.4356,Email
50137,2024-04-17,2024,Q2,Apr,16,West,Washington,Accessories,Headphones,Online,Small Business,10,1043,0.05,9908.5,6385.24,3523.26,0.3556,Google Ads
50138,2024-08-06,2024,Q3,Aug,32,Northeast,Pennsylvania,Accessories,Headphones,Retail,Small Business,11,1224,0.15,11444.4,6401.74,5042.66,0.4406,Affiliate
50139,2024-07-11,2024,Q3,Jul,28,South,Florida,Electronics,Laptop,Distributor,Small Business,4,118,0.15,401.2,294.4,106.8,0.2662,Social Media
50140,2024-08-16,2024,Q3,Aug,33,West,Washington,Accessories,Keyboard,Retail,Corporate,7,834,0.15,4962.3,3304.75,1657.55,0.334,Affiliate
50141,2024-04-07,2024,Q2,Apr,14,Northeast,New York,Furniture,Cabinet,Distributor,Consumer,12,250,0.15,2550.0,1619.55,930.45,0.3649,Affiliate
50142,2024-05-28,2024,Q2,May,22,South,Texas,Furniture,Cabinet,Distributor,Corporate,20,695,0.0,13900.0,7855.67,6044.33,0.4348,Google Ads
50143,2024-04-04,2024,Q2,Apr,14,Midwest,Michigan,Electronics,Laptop,Online,Corporate,23,278,0.1,5754.6,3321.65,2432.95,0.4228,Affiliate
50144,2024-08-21,2024,Q3,Aug,34,South,Georgia,Furniture,Chair,Online,Consumer,8,443,0.1,3189.6,2294.33,895.27,0.2807,Direct
50145,2024-01-06,2024,Q1,Jan,1,West,California,Furniture,Cabinet,Online,Small Business,9,516,0.05,4411.8,2921.56,1490.24,0.3378,Google Ads
50146,2024-07-19,2024,Q3,Jul,29,South,Georgia,Furniture,Cabinet,Distributor,Consumer,5,671,0.15,2851.75,1970.5,881.25,0.309,Google Ads
50147,2024-04-18,2024,Q2,Apr,16,South,Texas,Furniture,Chair,Online,Corporate,18,128,0.1,2073.6,1511.16,562.44,0.2712,Affiliate
50148,2024-11-15,2024,Q4,Nov,46,Midwest,Michigan,Accessories,Keyboard,Distributor,Corporate,24,903,0.1,19504.8,11685.38,7819.42,0.4009,Email
50149,2024-03-19,2024,Q1,Mar,12,South,Georgia,Electronics,Tablet,Online,Consumer,15,934,0.05,13309.5,9259.75,4049.75,0.3043,Google Ads
50150,2024-01-04,2024,Q1,Jan,1,West,Colorado,Electronics,Tablet,Online,Corporate,19,710,0.1,12141.0,7827.85,4313.15,0.3553,Social Media
50151,2024-12-29,2024,Q4,Dec,52,Northeast,New York,Electronics,Phone,Distributor,Corporate,19,666,0.15,10755.9,7591.39,3164.51,0.2942,Google Ads
50152,2024-07-14,2024,Q3,Jul,28,South,Florida,Electronics,Laptop,Retail,Corporate,1,963,0.1,866.7,585.17,281.53,0.3248,Social Media
50153,2024-03-28,2024,Q1,Mar,13,West,Washington,Accessories,Mouse,Retail,Consumer,18,1000,0.1,16200.0,9039.91,7160.09,0.442,Affiliate
50154,2024-08-23,2024,Q3,Aug,34,Midwest,Ohio,Electronics,Laptop,Distributor,Consumer,3,438,0.15,1116.9,735.42,381.48,0.3416,Social Media
50155,2024-09-02,2024,Q3,Sep,36,Northeast,Pennsylvania,Electronics,Tablet,Online,Small Business,13,812,0.05,10028.2,5606.71,4421.49,0.4409,Email
50156,2024-07-22,2024,Q3,Jul,30,South,Texas,Electronics,Phone,Online,Consumer,18,628,0.0,11304.0,6304.34,4999.66,0.4423,Direct
50157,2024-01-11,2024,Q1,Jan,2,Northeast,New York,Electronics,Laptop,Retail,Small Business,9,87,0.05,743.85,547.92,195.93,0.2634,Google Ads
50158,2024-05-22,2024,Q2,May,21,Midwest,Illinois,Electronics,Laptop,Online,Consumer,6,471,0.15,2402.1,1569.22,832.88,0.3467,Google Ads
50159,2024-06-30,2024,Q2,Jun,26,South,Florida,Electronics,Laptop,Distributor,Small Business,10,665,0.1,5985.0,3783.73,2201.27,0.3678,Google Ads
50160,2024-09-19,2024,Q3,Sep,38,Midwest,Ohio,Furniture,Cabinet,Online,Consumer,12,67,0.0,804.0,537.89,266.11,0.331,Social Media
50161,2024-05-15,2024,Q2,May,20,Northeast,Massachusetts,Furniture,Cabinet,Online,Consumer,2,1249,0.15,2123.3,1278.3,845.0,0.398,Social Media
50162,2024-05-01,2024,Q2,May,18,West,Colorado,Electronics,Phone,Distributor,Consumer,6,150,0.1,810.0,496.98,313.02,0.3864,Social Media
50163,2024-11-29,2024,Q4,Nov,48,Northeast,Massachusetts,Electronics,Phone,Retail,Small Business,25,727,0.0,18175.0,12190.78,5984.22,0.3293,Google Ads
50164,2024-06-04,2024,Q2,Jun,23,West,Washington,Accessories,Headphones,Distributor,Small Business,16,793,0.0,12688.0,8538.59,4149.41,0.327,Direct
50165,2024-07-21,2024,Q3,Jul,29,Northeast,Pennsylvania,Furniture,Chair,Distributor,Corporate,5,989,0.1,4450.5,3102.43,1348.07,0.3029,Google Ads
50166,2024-05-18,2024,Q2,May,20,West,Washington,Accessories,Keyboard,Online,Consumer,23,453,0.0,10419.0,6074.83,4344.17,0.4169,Affiliate
50167,2024-04-21,2024,Q2,Apr,16,South,Texas,Electronics,Laptop,Online,Consumer,9,196,0.1,1587.6,896.85,690.75,0.4351,Affiliate
