Order ID,Date,Year,Quarter,Month,Week,Region,State,City,Product Category,Product Subcategory,Product Name,Sales Channel,Customer Segment,Units Sold,Unit Price,Discount,Revenue,Cost,Profit,Profit Margin,Marketing Channel,Payment Method
20011,2024-09-29,2024,Q3,Sep,39,West,Washington,Seattle,Accessories,Mouse,ClickPro,Retail,Small Business,17,290,0.15,4190.5,2414.49,1776.01,0.4238,Direct,Digital Wallet
20012,2024-01-21,2024,Q1,Jan,3,Northeast,New York,New York,Electronics,Phone,Galaxy Max,Distributor,Small Business,11,1297,0.0,14267.0,8199.9,6067.1,0.4253,Google Ads,Digital Wallet
20013,2024-03-25,2024,Q1,Mar,13,West,Colorado,Denver,Electronics,Tablet,Tab Elite,Online,Small Business,4,54,0.0,216.0,131.33,84.67,0.392,Email,Transfer
20014,2024-01-04,2024,Q1,Jan,1,South,Florida,Miami,Accessories,Mouse,ClickPro,Distributor,Corporate,8,432,0.0,3456.0,2438.58,1017.42,0.2944,Direct,Digital Wallet
20015,2024-06-02,2024,Q2,Jun,22,Midwest,Michigan,Detroit,Electronics,Tablet,Tab Elite,Retail,Consumer,25,663,0.1,14917.5,10500.79,4416.71,0.2961,Email,Cash
20016,2024-05-25,2024,Q2,May,21,Midwest,Ohio,Columbus,Furniture,Desk,WorkDesk Pro,Distributor,Corporate,3,326,0.05,929.1,634.24,294.86,0.3174,Google Ads,Transfer
20017,2024-02-05,2024,Q1,Feb,6,Northeast,Massachusetts,Boston,Accessories,Keyboard,KeyPro,Online,Small Business,1,1377,0.0,1377.0,904.41,472.59,0.3432,Direct,Digital Wallet
20018,2024-11-12,2024,Q4,Nov,46,South,Georgia,Atlanta,Furniture,Desk,WorkDesk Pro,Distributor,Consumer,13,108,0.05,1333.8,896.83,436.97,0.3276,Email,Card
20019,2024-05-25,2024,Q2,May,21,Midwest,Ohio,Columbus,Electronics,Laptop,UltraBook Pro,Distributor,Consumer,12,1302,0.1,14061.6,8302.13,5759.47,0.4096,Email,Cash
20020,2024-01-31,2024,Q1,Jan,5,Northeast,New York,New York,Electronics,Phone,Galaxy Max,Distributor,Small Business,2,735,0.15,1249.5,786.46,463.04,0.3706,Social Media,Cash
20021,2024-08-04,2024,Q3,Aug,31,South,Georgia,Atlanta,Electronics,Tablet,Tab Elite,Retail,Small Business,22,1032,0.0,22704.0,14015.63,8688.37,0.3827,Email,Card
20022,2024-07-23,2024,Q3,Jul,30,Midwest,Ohio,Columbus,Electronics,Phone,Galaxy Max,Online,Small Business,3,559,0.05,1593.15,979.54,613.61,0.3852,Direct,Cash
20023,2024-02-24,2024,Q1,Feb,8,Northeast,New York,New York,Furniture,Chair,ComfortSeat,Retail,Small Business,9,1007,0.0,9063.0,6613.62,2449.38,0.2703,Google Ads,Cash
20024,2024-04-30,2024,Q2,Apr,18,South,Texas,Dallas,Accessories,Mouse,ClickPro,Distributor,Consumer,13,249,0.05,3075.15,2087.57,987.58,0.3211,Google Ads,Digital Wallet
20025,2024-04-12,2024,Q2,Apr,15,West,California,Los Angeles,Accessories,Headphones,SoundMax,Online,Corporate,18,163,0.05,2787.3,1740.95,1046.35,0.3754,Email,Digital Wallet
20026,2024-12-18,2024,Q4,Dec,51,South,Texas,Dallas,Accessories,Keyboard,KeyPro,Distributor,Corporate,13,1212,0.15,13392.6,9890.21,3502.39,0.2615,Email,Cash
20027,2024-04-14,2024,Q2,Apr,15,Northeast,Pennsylvania,Philadelphia,Furniture,Chair,ComfortSeat,Distributor,Consumer,5,867,0.15,3684.75,2264.5,1420.25,0.3854,Direct,Transfer
20028,2024-03-23,2024,Q1,Mar,12,Midwest,Ohio,Columbus,Electronics,Tablet,Tab Elite,Distributor,Consumer,1,761,0.15,646.85,441.86,204.99,0.3169,Email,Transfer
20029,2024-12-27,2024,Q4,Dec,52,Midwest,Michigan,Detroit,Accessories,Headphones,SoundMax,Distributor,Small Business,25,490,0.0,12250.0,8424.69,3825.31,0.3123,Social Media,Card
20030,2024-09-02,2024,Q3,Sep,36,South,Florida,Miami,Accessories,Keyboard,KeyPro,Retail,Small Business,13,552,0.05,6817.2,4854.01,1963.19,0.288,Email,Card
20031,2024-11-20,2024,Q4,Nov,47,Northeast,New York,New York,Accessories,Keyboard,KeyPro,Distributor,Consumer,21,204,0.05,4069.8,2418.69,1651.11,0.4057,Affiliate,Transfer
20032,2024-05-31,2024,Q2,May,22,Northeast,New York,New York,Furniture,Chair,ComfortSeat,Distributor,Small Business,11,1155,0.1,11434.5,7898.23,3536.27,0.3093,Social Media,Transfer
20033,2024-01-01,2024,Q1,Jan,1,Northeast,New York,New York,Furniture,Chair,ComfortSeat,Distributor,Small Business,3,1012,0.0,3036.0,1990.2,1045.8,0.3445,Email,Cash
20034,2024-07-04,2024,Q3,Jul,27,Midwest,Michigan,Detroit,Furniture,Chair,ComfortSeat,Distributor,Consumer,14,1146,0.15,13637.4,7918.32,5719.08,0.4194,Email,Card
20035,2024-11-09,2024,Q4,Nov,45,South,Georgia,Atlanta,Electronics,Laptop,UltraBook Pro,Online,Corporate,25,1236,0.15,26265.0,15590.83,10674.17,0.4064,Google Ads,Transfer
20036,2024-09-12,2024,Q3,Sep,37,Midwest,Illinois,Chicago,Furniture,Chair,ComfortSeat,Online,Small Business,10,102,0.15,867.0,546.39,320.61,0.3698,Social Media,Transfer
20037,2024-06-20,2024,Q2,Jun,25,Midwest,Michigan,Detroit,Furniture,Desk,WorkDesk Pro,Distributor,Small Business,21,1241,0.15,22151.85,12769.52,9382.33,0.4235,Social Media,Card
20038,2024-09-08,2024,Q3,Sep,36,Midwest,Ohio,Columbus,Electronics,Laptop,UltraBook Pro,Retail,Small Business,11,1351,0.15,12631.85,9187.77,3444.08,0.2727,Social Media,Cash
20039,2024-12-15,2024,Q4,Dec,50,Midwest,Ohio,Columbus,Accessories,Keyboard,KeyPro,Distributor,Corporate,5,667,0.0,3335.0,2008.07,1326.93,0.3979,Affiliate,Digital Wallet
20040,2024-02-04,2024,Q1,Feb,5,Northeast,Massachusetts,Boston,Furniture,Chair,ComfortSeat,Distributor,Corporate,1,832,0.15,707.2,519.76,187.44,0.265,Email,Card
20041,2024-11-16,2024,Q4,Nov,46,Northeast,Pennsylvania,Philadelphia,Electronics,Phone,Galaxy Max,Distributor,Corporate,9,662,0.0,5958.0,3795.61,2162.39,0.3629,Google Ads,Card
20042,2024-02-07,2024,Q1,Feb,6,West,Washington,Seattle,Electronics,Phone,Galaxy Max,Online,Small Business,14,379,0.0,5306.0,3463.26,1842.74,0.3473,Direct,Transfer
20043,2024-08-20,2024,Q3,Aug,34,South,Texas,Dallas,Accessories,Headphones,SoundMax,Retail,Corporate,2,251,0.05,476.9,300.84,176.06,0.3692,Google Ads,Cash
20044,2024-05-21,2024,Q2,May,21,Northeast,New York,New York,Accessories,Keyboard,KeyPro,Retail,Corporate,10,64,0.15,544.0,361.02,182.98,0.3364,Direct,Digital Wallet
20045,2024-05-16,2024,Q2,May,20,Midwest,Michigan,Detroit,Electronics,Phone,Galaxy Max,Online,Corporate,20,750,0.1,13500.0,9691.08,3808.92,0.2821,Google Ads,Card
20046,2024-07-14,2024,Q3,Jul,28,South,Texas,Dallas,Accessories,Keyboard,KeyPro,Online,Consumer,5,249,0.0,1245.0,828.73,416.27,0.3344,Social Media,Card
20047,2024-06-05,2024,Q2,Jun,23,South,Florida,Miami,Accessories,Headphones,SoundMax,Online,Corporate,18,101,0.0,1818.0,1342.48,475.52,0.2616,Social Media,Card
20048,2024-06-06,2024,Q2,Jun,23,West,California,Los Angeles,Accessories,Mouse,ClickPro,Online,Corporate,2,1336,0.15,2271.2,1648.01,623.19,0.2744,Social Media,Digital Wallet
20049,2024-09-01,2024,Q3,Sep,35,South,Georgia,Atlanta,Furniture,Chair,ComfortSeat,Retail,Corporate,12,256,0.05,2918.4,1860.2,1058.2,0.3626,Social Media,Card
20050,2024-08-28,2024,Q3,Aug,35,South,Georgia,Atlanta,Furniture,Desk,WorkDesk Pro,Online,Small Business,4,1227,0.1,4417.2,2666.04,1751.16,0.3964,Direct,Transfer
20051,2024-08-15,2024,Q3,Aug,33,South,Texas,Dallas,Electronics,Laptop,UltraBook Pro,Retail,Small Business,18,1181,0.15,18069.3,10914.19,7155.11,0.396,Email,Card
20052,2024-12-22,2024,Q4,Dec,51,West,California,Los Angeles,Electronics,Laptop,UltraBook Pro,Online,Small Business,15,1224,0.05,17442.0,9972.05,7469.95,0.4283,Google Ads,Card
20053,2024-10-27,2024,Q4,Oct,43,Midwest,Illinois,Chicago,Accessories,Keyboard,KeyPro,Distributor,Consumer,10,832,0.05,7904.0,4414.31,3489.69,0.4415,Direct,Transfer
20054,2024-09-11,2024,Q3,Sep,37,West,Washington,Seattle,Electronics,Phone,Galaxy Max,Retail,Corporate,14,1187,0.1,14956.2,10345.96,4610.24,0.3082,Affiliate,Cash
20055,2024-06-16,2024,Q2,Jun,24,Northeast,New York,New York,Accessories,Mouse,ClickPro,Distributor,Small Business,17,1240,0.15,17918.0,11998.61,5919.39,0.3304,Google Ads,Digital Wallet
20056,2024-02-17,2024,Q1,Feb,7,West,California,Los Angeles,Accessories,Keyboard,KeyPro,Retail,Small Business,23,330,0.0,7590.0,4437.87,3152.13,0.4153,Direct,Digital Wallet
20057,2024-08-02,2024,Q3,Aug,31,West,Washington,Seattle,Accessories,Headphones,SoundMax,Distributor,Consumer,19,503,0.15,8123.45,5379.67,2743.78,0.3378,Google Ads,Cash
20058,2024-04-16,2024,Q2,Apr,16,West,Colorado,Denver,Accessories,Mouse,ClickPro,Distributor,Corporate,16,76,0.0,1216.0,815.95,400.05,0.329,Google Ads,Transfer
20059,2024-04-21,2024,Q2,Apr,16,West,Colorado,Denver,Accessories,Keyboard,KeyPro,Distributor,Consumer,8,1025,0.0,8200.0,5116.28,3083.72,0.3761,Direct,Transfer
20060,2024-03-05,2024,Q1,Mar,10,South,Texas,Dallas,Electronics,Laptop,UltraBook Pro,Retail,Consumer,3,287,0.15,731.85,514.04,217.81,0.2976,Affiliate,Transfer
20061,2024-05-30,2024,Q2,May,22,West,Washington,Seattle,Accessories,Headphones,SoundMax,Retail,Consumer,12,749,0.15,7639.8,5031.14,2608.66,0.3415,Google Ads,Card
20062,2024-07-31,2024,Q3,Jul,31,West,California,Los Angeles,Accessories,Keyboard,KeyPro,Retail,Small Business,5,777,0.0,3885.0,2225.01,1659.99,0.4273,Affiliate,Transfer
20063,2024-01-24,2024,Q1,Jan,4,South,Florida,Miami,Electronics,Tablet,Tab Elite,Online,Small Business,20,1031,0.15,17527.0,12662.9,4864.1,0.2775,Affiliate,Card
20064,2024-11-08,2024,Q4,Nov,45,West,Washington,Seattle,Furniture,Chair,ComfortSeat,Retail,Corporate,25,1312,0.05,31160.0,18825.73,12334.27,0.3958,Direct,Transfer
20065,2024-12-04,2024,Q4,Dec,49,South,Texas,Dallas,Furniture,Chair,ComfortSeat,Online,Corporate,9,629,0.1,5094.9,3754.46,1340.44,0.2631,Direct,Digital Wallet
20066,2024-07-03,2024,Q3,Jul,27,Midwest,Michigan,Detroit,Electronics,Phone,Galaxy Max,Retail,Corporate,23,787,0.0,18101.0,12704.99,5396.01,0.2981,Direct,Card
20067,2024-07-13,2024,Q3,Jul,28,West,California,Los Angeles,Accessories,Mouse,ClickPro,Distributor,Corporate,6,1042,0.0,6252.0,3759.33,2492.67,0.3987,Affiliate,Transfer
20068,2024-03-18,2024,Q1,Mar,12,West,California,Los Angeles,Accessories,Mouse,ClickPro,Online,Corporate,11,629,0.1,6227.1,3496.72,2730.38,0.4385,Social Media,Digital Wallet
20069,2024-01-02,2024,Q1,Jan,1,Northeast,Massachusetts,Boston,Electronics,Laptop,UltraBook Pro,Distributor,Consumer,24,1277,0.1,27583.2,15686.53,11896.67,0.4313,Social Media,Transfer
20070,2024-07-06,2024,Q3,Jul,27,South,Georgia,Atlanta,Furniture,Chair,ComfortSeat,Online,Small Business,14,275,0.0,3850.0,2207.37,1642.63,0.4267,Email,Cash
20071,2024-03-22,2024,Q1,Mar,12,Northeast,Pennsylvania,Philadelphia,Accessories,Headphones,SoundMax,Online,Consumer,22,539,0.05,11265.1,6955.84,4309.26,0.3825,Google Ads,Transfer
20072,2024-12-11,2024,Q4,Dec,50,Midwest,Ohio,Columbus,Accessories,Headphones,SoundMax,Distributor,Small Business,19,583,0.15,9415.45,6251.64,3163.81,0.336,Google Ads,Transfer
20073,2024-07-14,2024,Q3,Jul,28,South,Georgia,Atlanta,Accessories,Keyboard,KeyPro,Retail,Corporate,1,1227,0.1,1104.3,678.06,426.24,0.386,Affiliate,Digital Wallet
20074,2024-05-08,2024,Q2,May,19,Northeast,Massachusetts,Boston,Furniture,Desk,WorkDesk Pro,Retail,Corporate,10,1293,0.0,12930.0,8793.9,4136.1,0.3199,Email,Digital Wallet
20075,2024-04-18,2024,Q2,Apr,16,Midwest,Illinois,Chicago,Electronics,Phone,Galaxy Max,Distributor,Small Business,8,235,0.0,1880.0,1309.11,570.89,0.3037,Direct,Cash
20076,2024-01-11,2024,Q1,Jan,2,South,Texas,Dallas,Electronics,Phone,Galaxy Max,Online,Corporate,4,809,0.05,3074.2,1958.75,1115.45,0.3628,Email,Card
20077,2024-02-04,2024,Q1,Feb,5,Midwest,Ohio,Columbus,Electronics,Phone,Galaxy Max,Retail,Small Business,10,742,0.1,6678.0,4448.0,2230.0,0.3339,Social Media,Digital Wallet
20078,2024-11-29,2024,Q4,Nov,48,Midwest,Ohio,Columbus,Accessories,Mouse,ClickPro,Retail,Small Business,24,966,0.1,20865.6,13716.51,7149.09,0.3426,Social Media,Digital Wallet
20079,2024-03-09,2024,Q1,Mar,10,Midwest,Michigan,Detroit,Furniture,Chair,ComfortSeat,Online,Consumer,16,1084,0.15,14742.4,10476.53,4265.87,0.2894,Affiliate,Card
20080,2024-04-08,2024,Q2,Apr,15,West,California,Los Angeles,Accessories,Mouse,ClickPro,Retail,Corporate,6,609,0.1,3288.6,2056.14,1232.46,0.3748,Google Ads,Digital Wallet
20081,2024-05-03,2024,Q2,May,18,South,Florida,Miami,Accessories,Keyboard,KeyPro,Distributor,Consumer,22,883,0.05,18454.7,10840.67,7614.03,0.4126,Affiliate,Cash
20082,2024-12-26,2024,Q4,Dec,52,West,California,Los Angeles,Furniture,Desk,WorkDesk Pro,Online,Small Business,14,782,0.0,10948.0,6061.54,4886.46,0.4463,Direct,Digital Wallet
20083,2024-10-18,2024,Q4,Oct,42,West,Washington,Seattle,Furniture,Desk,WorkDesk Pro,Distributor,Consumer,4,1020,0.05,3876.0,2903.64,972.36,0.2509,Email,Card
20084,2024-03-19,2024,Q1,Mar,12,South,Georgia,Atlanta,Electronics,Tablet,Tab Elite,Retail,Consumer,4,614,0.05,2333.2,1448.29,884.91,0.3793,Google Ads,Cash
20085,2024-07-20,2024,Q3,Jul,29,Northeast,Pennsylvania,Philadelphia,Electronics,Laptop,UltraBook Pro,Distributor,Small Business,17,348,0.1,5324.4,3520.13,1804.27,0.3389,Affiliate,Card
20086,2024-11-20,2024,Q4,Nov,47,Northeast,Massachusetts,Boston,Furniture,Desk,WorkDesk Pro,Retail,Small Business,7,297,0.0,2079.0,1413.15,665.85,0.3203,Direct,Digital Wallet
20087,2024-07-08,2024,Q3,Jul,28,West,Colorado,Denver,Electronics,Tablet,Tab Elite,Retail,Corporate,15,1124,0.1,15174.0,10060.31,5113.69,0.337,Direct,Cash
20088,2024-11-11,2024,Q4,Nov,46,West,California,Los Angeles,Electronics,Tablet,Tab Elite,Distributor,Consumer,4,1025,0.0,4100.0,2255.15,1844.85,0.45,Google Ads,Digital Wallet
20089,2024-02-19,2024,Q1,Feb,8,West,Colorado,Denver,Furniture,Chair,ComfortSeat,Online,Small Business,11,177,0.05,1849.65,1292.2,557.45,0.3014,Google Ads,Transfer
20090,2024-11-27,2024,Q4,Nov,48,Northeast,Massachusetts,Boston,Accessories,Mouse,ClickPro,Online,Small Business,5,434,0.05,2061.5,1266.95,794.55,0.3854,Google Ads,Cash
20091,2024-11-24,2024,Q4,Nov,47,South,Florida,Miami,Accessories,Keyboard,KeyPro,Retail,Corporate,7,1315,0.15,7824.25,5570.35,2253.9,0.2881,Direct,Digital Wallet
20092,2024-11-17,2024,Q4,Nov,46,Northeast,New York,New York,Furniture,Chair,ComfortSeat,Online,Small Business,23,180,0.0,4140.0,2690.31,1449.69,0.3502,Affiliate,Card
20093,2024-12-21,2024,Q4,Dec,51,Midwest,Illinois,Chicago,Accessories,Mouse,ClickPro,Online,Small Business,24,973,0.15,19849.2,12691.81,7157.39,0.3606,Direct,Card
20094,2024-06-02,2024,Q2,Jun,22,Northeast,Massachusetts,Boston,Accessories,Headphones,SoundMax,Online,Corporate,19,40,0.1,684.0,455.57,228.43,0.334,Social Media,Card
20095,2024-10-25,2024,Q4,Oct,43,Northeast,New York,New York,Accessories,Mouse,ClickPro,Distributor,Corporate,22,1320,0.15,24684.0,17573.74,7110.26,0.2881,Google Ads,Card
20096,2024-03-02,2024,Q1,Mar,9,West,Washington,Seattle,Electronics,Tablet,Tab Elite,Retail,Consumer,25,487,0.0,12175.0,7496.6,4678.4,0.3843,Affiliate,Cash
20097,2024-02-23,2024,Q1,Feb,8,South,Georgia,Atlanta,Electronics,Tablet,Tab Elite,Retail,Corporate,14,444,0.05,5905.2,4261.98,1643.22,0.2783,Google Ads,Digital Wallet
20098,2024-09-23,2024,Q3,Sep,39,West,Washington,Seattle,Accessories,Mouse,ClickPro,Online,Corporate,20,765,0.15,13005.0,9005.51,3999.49,0.3075,Email,Card
20099,2024-11-11,2024,Q4,Nov,46,West,Washington,Seattle,Electronics,Phone,Galaxy Max,Retail,Small Business,24,52,0.1,1123.2,745.24,377.96,0.3365,Google Ads,Transfer
20100,2024-09-10,2024,Q3,Sep,37,Midwest,Michigan,Detroit,Furniture,Chair,ComfortSeat,Distributor,Small Business,22,411,0.15,7685.7,5036.64,2649.06,0.3447,Social Media,Digital Wallet
20101,2024-05-26,2024,Q2,May,21,South,Georgia,Atlanta,Accessories,Mouse,ClickPro,Online,Consumer,10,436,0.15,3706.0,2705.1,1000.9,0.2701,Email,Digital Wallet
20102,2024-05-09,2024,Q2,May,19,South,Texas,Dallas,Furniture,Desk,WorkDesk Pro,Online,Corporate,23,356,0.15,6959.8,4395.84,2563.96,0.3684,Direct,Transfer
20103,2024-11-21,2024,Q4,Nov,47,Northeast,New York,New York,Accessories,Mouse,ClickPro,Online,Consumer,8,483,0.1,3477.6,2132.75,1344.85,0.3867,Google Ads,Cash
20104,2024-04-03,2024,Q2,Apr,14,Northeast,Pennsylvania,Philadelphia,Accessories,Mouse,ClickPro,Retail,Consumer,15,841,0.05,11984.25,8393.85,3590.4,0.2996,Social Media,Card
20105,2024-09-08,2024,Q3,Sep,36,West,California,Los Angeles,Electronics,Phone,Galaxy Max,Online,Corporate,21,477,0.05,9516.15,5675.71,3840.44,0.4036,Google Ads,Transfer
20106,2024-01-16,2024,Q1,Jan,3,West,California,Los Angeles,Electronics,Phone,Galaxy Max,Distributor,Consumer,25,307,0.15,6523.75,3746.63,2777.12,0.4257,Social Media,Digital Wallet
20107,2024-01-20,2024,Q1,Jan,3,South,Georgia,Atlanta,Electronics,Tablet,Tab Elite,Retail,Consumer,23,1038,0.05,22680.3,13200.41,9479.89,0.418,Email,Digital Wallet
20108,2024-03-05,2024,Q1,Mar,10,Northeast,Pennsylvania,Philadelphia,Electronics,Phone,Galaxy Max,Distributor,Small Business,14,531,0.0,7434.0,4873.06,2560.94,0.3445,Email,Cash
20109,2024-12-15,2024,Q4,Dec,50,Midwest,Illinois,Chicago,Accessories,Headphones,SoundMax,Distributor,Corporate,19,491,0.15,7929.65,4823.38,3106.27,0.3917,Affiliate,Digital Wallet
20110,2024-08-10,2024,Q3,Aug,32,West,California,Los Angeles,Electronics,Phone,Galaxy Max,Distributor,Consumer,14,792,0.15,9424.8,6889.37,2535.43,0.269,Direct,Card
20111,2024-09-14,2024,Q3,Sep,37,South,Georgia,Atlanta,Furniture,Desk,WorkDesk Pro,Retail,Corporate,5,1175,0.0,5875.0,3275.82,2599.18,0.4424,Affiliate,Transfer
20112,2024-06-29,2024,Q2,Jun,26,South,Texas,Dallas,Accessories,Keyboard,KeyPro,Retail,Corporate,12,1066,0.0,12792.0,7595.5,5196.5,0.4062,Google Ads,Transfer
20113,2024-01-28,2024,Q1,Jan,4,Midwest,Michigan,Detroit,Electronics,Laptop,UltraBook Pro,Online,Corporate,15,789,0.0,11835.0,8477.64,3357.36,0.2837,Google Ads,Cash
20114,2024-01-25,2024,Q1,Jan,4,Midwest,Michigan,Detroit,Furniture,Chair,ComfortSeat,Retail,Consumer,8,646,0.1,4651.2,3475.75,1175.45,0.2527,Email,Cash
20115,2024-11-11,2024,Q4,Nov,46,West,California,Los Angeles,Electronics,Tablet,Tab Elite,Distributor,Corporate,11,396,0.1,3920.4,2836.12,1084.28,0.2766,Email,Transfer
20116,2024-07-22,2024,Q3,Jul,30,Midwest,Michigan,Detroit,Electronics,Phone,Galaxy Max,Online,Corporate,13,506,0.0,6578.0,3977.0,2601.0,0.3954,Affiliate,Cash
20117,2024-09-14,2024,Q3,Sep,37,Northeast,Massachusetts,Boston,Accessories,Headphones,SoundMax,Distributor,Consumer,8,270,0.1,1944.0,1281.33,662.67,0.3409,Email,Digital Wallet
20118,2024-12-21,2024,Q4,Dec,51,West,Colorado,Denver,Electronics,Phone,Galaxy Max,Distributor,Small Business,18,844,0.0,15192.0,8696.71,6495.29,0.4275,Direct,Cash
20119,2024-05-15,2024,Q2,May,20,Northeast,Pennsylvania,Philadelphia,Furniture,Chair,ComfortSeat,Distributor,Consumer,9,457,0.1,3701.7,2654.59,1047.11,0.2829,Google Ads,Transfer
20120,2024-03-25,2024,Q1,Mar,13,Midwest,Ohio,Columbus,Electronics,Tablet,Tab Elite,Online,Consumer,19,561,0.0,10659.0,7254.84,3404.16,0.3194,Direct,Transfer
20121,2024-01-02,2024,Q1,Jan,1,Northeast,New York,New York,Furniture,Chair,ComfortSeat,Distributor,Corporate,2,609,0.0,1218.0,826.32,391.68,0.3216,Email,Cash
20122,2024-12-15,2024,Q4,Dec,50,Midwest,Ohio,Columbus,Electronics,Laptop,UltraBook Pro,Distributor,Small Business,11,971,0.15,9078.85,5510.11,3568.74,0.3931,Direct,Transfer
20123,2024-09-11,2024,Q3,Sep,37,Midwest,Ohio,Columbus,Accessories,Headphones,SoundMax,Distributor,Small Business,21,892,0.1,16858.8,11985.23,4873.57,0.2891,Social Media,Cash
20124,2024-05-10,2024,Q2,May,19,West,California,Los Angeles,Furniture,Desk,WorkDesk Pro,Distributor,Small Business,14,183,0.0,2562.0,1819.17,742.83,0.2899,Social Media,Transfer
20125,2024-12-16,2024,Q4,Dec,51,West,Colorado,Denver,Electronics,Tablet,Tab Elite,Distributor,Corporate,22,875,0.05,18287.5,10359.21,7928.29,0.4335,Email,Transfer
20126,2024-03-16,2024,Q1,Mar,11,Northeast,Pennsylvania,Philadelphia,Electronics,Laptop,UltraBook Pro,Online,Corporate,19,373,0.0,7087.0,4094.02,2992.98,0.4223,Email,Digital Wallet
20127,2024-01-04,2024,Q1,Jan,1,South,Texas,Dallas,Accessories,Mouse,ClickPro,Online,Consumer,17,1017,0.15,14695.65,10100.47,4595.18,0.3127,Direct,Card
20128,2024-03-31,2024,Q1,Mar,13,West,Colorado,Denver,Furniture,Desk,WorkDesk Pro,Distributor,Small Business,9,822,0.15,6288.3,3879.56,2408.74,0.3831,Affiliate,Transfer
20129,2024-12-13,2024,Q4,Dec,50,Northeast,Massachusetts,Boston,Accessories,Headphones,SoundMax,Distributor,Small Business,23,924,0.1,19126.8,11569.1,7557.7,0.3951,Email,Cash
20130,2024-01-01,2024,Q1,Jan,1,Northeast,Pennsylvania,Philadelphia,Electronics,Laptop,UltraBook Pro,Distributor,Small Business,18,523,0.1,8472.6,4995.09,3477.51,0.4104,Direct,Card
20131,2024-11-09,2024,Q4,Nov,45,South,Texas,Dallas,Furniture,Desk,WorkDesk Pro,Online,Corporate,25,1028,0.1,23130.0,13345.46,9784.54,0.423,Email,Digital Wallet
20132,2024-10-31,2024,Q4,Oct,44,Midwest,Michigan,Detroit,Accessories,Keyboard,KeyPro,Retail,Consumer,14,1059,0.05,14084.7,9228.88,4855.82,0.3448,Social Media,Cash
20133,2024-08-07,2024,Q3,Aug,32,South,Georgia,Atlanta,Furniture,Desk,WorkDesk Pro,Online,Consumer,10,1316,0.15,11186.0,8380.17,2805.83,0.2508,Affiliate,Transfer
20134,2024-05-03,2024,Q2,May,18,Midwest,Illinois,Chicago,Accessories,Headphones,SoundMax,Retail,Consumer,19,165,0.1,2821.5,1999.89,821.61,0.2912,Affiliate,Cash
20135,2024-05-13,2024,Q2,May,20,Midwest,Michigan,Detroit,Accessories,Headphones,SoundMax,Distributor,Consumer,9,1341,0.15,10258.65,7202.37,3056.28,0.2979,Google Ads,Digital Wallet
20136,2024-12-26,2024,Q4,Dec,52,Northeast,Pennsylvania,Philadelphia,Electronics,Laptop,UltraBook Pro,Online,Small Business,9,186,0.0,1674.0,981.78,692.22,0.4135,Affiliate,Digital Wallet
20137,2024-07-20,2024,Q3,Jul,29,West,Washington,Seattle,Accessories,Mouse,ClickPro,Online,Corporate,13,958,0.1,11208.6,6377.91,4830.69,0.431,Google Ads,Cash
20138,2024-02-01,2024,Q1,Feb,5,Midwest,Michigan,Detroit,Furniture,Chair,ComfortSeat,Distributor,Small Business,2,867,0.0,1734.0,1250.87,483.13,0.2786,Social Media,Card
